Model,Price_USD,Date
iPhone 11 64GB,699,20-09-2019
iPhone 11 128GB,749,20-09-2019
iPhone 11 256GB,849,20-09-2019
iPhone 11 pro 64GB,999,20-09-2019
iPhone 11 pro 256GB,1149,20-09-2019
iPhone 11 pro 512GB,1349,20-09-2019
iPhone 11 pro max 64GB,1099,20-09-2019
iPhone 11 pro max 256GB,1249,20-09-2019
iPhone 11 pro max 512GB,1449,20-09-2019
iPhone 11 64GB,599,13-10-2020
iPhone 11 128GB,649,13-10-2020
iPhone 11 256GB,749,13-10-2020
iPhone 11 64GB,499,15-09-2021
iPhone 11 128GB,549,15-09-2021
iPhone 11 64GB,499,04-05-2022
iPhone 11 128GB,549,04-05-2022
